name;continent
Argentina;America
Australia;Asia
Brazil;America
Canada;America
Switzerland;Europe
Chile;America
China;Asia
Czech Republic;Europe
Denmark;Europe
Euro area;Europe
Britain;Europe
Hong Kong;Asia
Hungary;Europe
Indonesia;Asia
Israel;Asia
Japan;Asia
South Korea;Asia
Mexico;America
Malaysia;Asia
New Zealand;Asia
Poland;Europe
Russia;Asia
Singapore;Asia
Sweden;Europe
Thailand;Asia
Taiwan;Asia
United States;America
South Africa;Africa
Philippines;Asia
Norway;Europe
Peru;America
Turkey;Asia
Egypt;Africa
Colombia;America
Costa Rica;America
Sri Lanka;Asia
Pakistan;Asia
Saudi Arabia;Asia
Ukraine;Europe
Uruguay;America
UAE;Asia
India;Asia
Vietnam;Asia
United Arab Emirates;Asia
Azerbaijan;Asia
Bahrain;Asia
Guatemala;America
Honduras;America
Croatia;Europe
Jordan;Asia
Kuwait;Asia
Lebanon;Asia
Moldova;Europe
Nicaragua;America
Oman;Asia
Qatar;Asia
Romania;Europe
